id,candidate,candidate_confidence,relevant_yn,relevant_yn_confidence,sentiment,sentiment_confidence,subject_matter,subject_matter_confidence,candidate_gold,name,relevant_yn_gold,retweet_count,sentiment_gold,subject_matter_gold,text,tweet_coord,tweet_created,tweet_id,tweet_location,user_timezone
1364,No candidate mentioned,1.0,yes,1.0,Negative,1.0,None of the above,1.0,,PonziRegulation,,2,,,"RT @FauxTimesNews1: #GOPDebate Democrats’ debate will be different. There Hillary Clinton will debate herself, changing her mask every 5 mi…",,2015-08-07 09:42:17 -0700,629694060366823424,United States,Eastern Time (US & Canada)
1365,Donald Trump,1.0,yes,1.0,Negative,0.6667,None of the above,1.0,,JessicacaLG,,0,,,I've known Donald Trump was crazy ever since I saw my first bottle of Trump Ice. #DonaldTrump #GOPdebate http://t.co/vYjQt1fjYX,,2015-08-07 09:42:16 -0700,629694056730234880,,Pacific Time (US & Canada)
1366,No candidate mentioned,1.0,yes,1.0,Positive,0.6667,None of the above,0.6667,,theMerovingian,,2,,,RT @BenjaminJS: Getting more excited for the #GOPDebate http://t.co/EfGRo33pMO,,2015-08-07 09:42:16 -0700,629694056621174785,Los Angeles,Pacific Time (US & Canada)
1367,Jeb Bush,1.0,yes,1.0,Negative,0.6801,FOX News or Moderators,1.0,,SpaceMarine40,,0,,,More #GOPDebate s pleeeease.  @FoxNews But no Jeb.  Fewer peeps and LOTS of questions.  Not about Rosie.  #Trump #Fiorina #Jindal #Gilmore,,2015-08-07 09:42:15 -0700,629694050078228484,,Eastern Time (US & Canada)
1368,No candidate mentioned,1.0,yes,1.0,Neutral,1.0,None of the above,1.0,,SeaBassThePhish,,0,,,HOLY FUCK I think he did. #GOPDebate,,2015-08-07 09:42:14 -0700,629694045938388992,,Eastern Time (US & Canada)
1369,Donald Trump,1.0,yes,1.0,Negative,1.0,Women's Issues (not abortion though),0.6748,,RoseMarry002,,0,,,"WATCH #MegynKelly Burns #DonaldTrump 'You Called #Women Fat Pigs &amp; Digusting Animals' #USA #GOPDEBATE
https://t.co/VViA1NUyLd via @YouTube",,2015-08-07 09:42:13 -0700,629694041958023169,Islamabad PAK,Islamabad
1370,No candidate mentioned,1.0,yes,1.0,Negative,1.0,FOX News or Moderators,0.6893,,NGoshay,,262,,,"RT @rolandsmartin: SHAME ON Brett Baier, Chris Wallace, @MegynKelly. Today is the 50th anniversary of the Voting Rights Act and no question…",,2015-08-07 09:42:12 -0700,629694038745047040,,
1371,No candidate mentioned,1.0,yes,1.0,Negative,1.0,Jobs and Economy,0.6757,,leftnotright,,13,,,RT @ReadyForCruz: You're asking wealthy white men about entitlement reform? What? #GOPDebate,,2015-08-07 09:42:12 -0700,629694036375310336,Michigan,Atlantic Time (Canada)
1372,Rand Paul,1.0,yes,1.0,Negative,0.6383,None of the above,0.6596,,DavidJamesJnr,,0,,,#RandPaul Gets Less Than Half the Time of ‘#TheDonald’ During #GOPDebate:  http://t.co/pQeDCJOVWw  #RandPaul2016 http://t.co/FUwGuV5CQF,,2015-08-07 09:42:12 -0700,629694036287320064,Skype+Email dj2015@outlook.com,Dublin
1373,No candidate mentioned,1.0,yes,1.0,Neutral,0.6629999999999999,None of the above,1.0,,PatriarchBurden,,0,,,@Destinmurphy #JonVoyage yeah whatevs. Did you see that #GOPDebate tho? 😩,,2015-08-07 09:42:11 -0700,629694034387275780,#CummingGA,Eastern Time (US & Canada)
1374,No candidate mentioned,1.0,yes,1.0,Negative,0.6735,None of the above,1.0,,IamLeoBitches,,0,,,"The accuracy of it is mind blowing...
#GOPDebate http://t.co/xSXTYuykwp",,2015-08-07 09:42:08 -0700,629694020080521217,Thundera ,Eastern Time (US & Canada)
1375,No candidate mentioned,1.0,yes,1.0,Negative,1.0,FOX News or Moderators,1.0,,Intelligence404,,0,,,"And for the record, the #GOPDebate was NOT a debate.  It was Fox and the Koch bros interviewing each candidate.  It was a FARCE. Vote Bernie",,2015-08-07 09:42:07 -0700,629694019216506880,,Pacific Time (US & Canada)
1376,Donald Trump,1.0,yes,1.0,Neutral,0.6629999999999999,None of the above,1.0,,whatwomenmeka,,210,,,RT @seanhannity: .@realDonaldTrump: Now some of the people you would least expect are calling me up and apologizing. #Hannity #GOPDebate,,2015-08-07 09:42:07 -0700,629694015865270272,California,
1377,No candidate mentioned,0.4444,yes,0.6667,Negative,0.3441,None of the above,0.4444,,natt126,,52,,,RT @jarodzsz: i'm really disappointed that no one threw their prosthetic leg last night at the #GOPDebate,,2015-08-07 09:42:06 -0700,629694012182523904,"Provo, UT",
1378,Donald Trump,0.4782,yes,0.6915,Negative,0.3617,None of the above,0.4782,,AtheistGrace,,0,,,"#Trump lowered the bar for #Jeb, who smacked his head into it  #GOPClownCar #GOPDebate",,2015-08-07 09:42:06 -0700,629694012052623360,NYC,Pacific Time (US & Canada)
1379,Donald Trump,1.0,yes,1.0,Negative,0.6437,None of the above,0.6552,,MilkyWayReport,,0,,,Trump shows his true colors at the GOP debate - http://t.co/BWIpvDCMQy #GOPDebate #Trump #Garybusey,,2015-08-07 09:42:05 -0700,629694009502339072,"San Diego, CA",
1380,Donald Trump,0.3974,yes,0.6304,Neutral,0.3152,Women's Issues (not abortion though),0.3974,,talkbackny,,0,,,#GOPDebate @FoxNews @realDonaldTrump  in 2004 you called a woman a nickel&amp;dime whore. Do you stand by that statement now running for POTUS?,,2015-08-07 09:42:05 -0700,629694007048847360,NYC,Quito
1381,Chris Christie,1.0,yes,1.0,Negative,0.6774,None of the above,1.0,,dhniels,,0,,,@ChrisChristie to @RandPaul:  after all youre just on committees and more privy about secret information than i am #jealousmuch  #GOPDebate,,2015-08-07 09:42:04 -0700,629694006646050816,"St George, UT",Mountain Time (US & Canada)
1382,Donald Trump,1.0,yes,1.0,Positive,1.0,None of the above,1.0,,MadNietzsche,,2,,,RT @Raiden679: Good explanation as to why #Trump surges ahead of other #cuckservative candidates. #GOPDebate http://t.co/hagmnn1Tv7 http://…,,2015-08-07 09:42:03 -0700,629694001881481216,The Guard Tower,
1383,No candidate mentioned,1.0,yes,1.0,Neutral,1.0,None of the above,0.6742,,MikeDrago,,1,,,.@Mark Davis says @CarlyFiorina earned a promotion to the #GOPDebate main stage next time. http://t.co/tynvMJc7dn http://t.co/hxBPQIowMH,,2015-08-07 09:42:03 -0700,629693998618161153,Dallas,Central Time (US & Canada)
1384,Jeb Bush,0.402,yes,0.6341,Negative,0.6341,None of the above,0.402,,KenNgo93,,104,,,RT @TheBardockObama: Someone ask Jeb Bush if jet fuel can melt steel beams please #GOPDebate,,2015-08-07 09:42:02 -0700,629693995636015104,,Alaska
1385,Rand Paul,1.0,yes,1.0,Negative,1.0,Foreign Policy,1.0,,great_gold,,30,,,"RT @AmyMek: Now is NOT a time to be wavering in ANY way towards #Israel, @RandPaul! We have done enough damage to them with #Obama. #GOPDeb…",,2015-08-07 09:42:02 -0700,629693994881142784,,Eastern Time (US & Canada)
1386,No candidate mentioned,0.6141,yes,1.0,Neutral,0.6141,None of the above,1.0,,mkhh09,,0,,,Best summary of the #GOPdebate that I've encountered @girlwithnojob https://t.co/Fufean0xkW,,2015-08-07 09:42:01 -0700,629693994025549826,"New York, NY",Eastern Time (US & Canada)
1387,No candidate mentioned,1.0,yes,1.0,Negative,1.0,None of the above,1.0,,austin_ho,,0,,,#GOPdebate was just a bunch of non-answers and one liners. How is the public supposed to be informed and vote responsibly with this crap?,,2015-08-07 09:42:01 -0700,629693992154742784,SW Michigan,
1388,Marco Rubio,1.0,yes,1.0,Negative,1.0,None of the above,1.0,,JoshuaHol,,0,,,"Really, Marco Rubio won last night's #GOPDebate? Which debate was I watching?",,2015-08-07 09:42:01 -0700,629693991315972097,New York,Pacific Time (US & Canada)
1389,Donald Trump,1.0,yes,1.0,Positive,1.0,None of the above,1.0,,mmack237,,0,,,@realDonaldTrump #MakeAmericaGreatAgain #GOPDebate #TrumpForPresident  I put this together for you. http://t.co/TZtK7BC1rm via @chirbit,,2015-08-07 09:42:00 -0700,629693987364950017,"Long Island, NY",
1390,Ben Carson,1.0,yes,1.0,Negative,1.0,None of the above,0.6596,,DaveSwindle,,4,,,RT @bethanyshondark: Listen brain surgery is impressive. But I don't understand how being able to do that landed Carson on this stage. #GOP…,,2015-08-07 09:41:59 -0700,629693982134513664,"Los Angeles, CA",Pacific Time (US & Canada)
1391,Scott Walker,1.0,yes,1.0,Negative,1.0,None of the above,1.0,,JasonShepherd,,0,,,@Veribatim Agreed. I think Walker under performed at the #GOPDebate. Disappointing as he is who I'm leaning towards. #UnaffiliatedStill,,2015-08-07 09:41:58 -0700,629693980125626368,"Marietta, GA",Eastern Time (US & Canada)
1392,Donald Trump,0.4241,yes,0.6513,Positive,0.6513,None of the above,0.4241,,splendidsilks,,5,,,"RT @bobcesca_go: Trump won the debate. Christie, I think, was a strong second. #GOPDebate",,2015-08-07 09:41:58 -0700,629693978955415552,SILK BOUQUETS AND ROOM MOBILES,
1393,No candidate mentioned,1.0,yes,1.0,Neutral,0.6292,None of the above,1.0,,Aye_Jillian,,56,,,RT @gillistrill: What is your favorite meme? @GOP #GOPDebate #AskGOP,,2015-08-07 09:41:58 -0700,629693977495764992,,
1394,Donald Trump,0.6905,yes,1.0,Negative,0.6905,None of the above,1.0,,MaxxKowalski,,47,,,RT @andrewklavan: This is basically my take-away from tonight's #GOPDebate. http://t.co/qtYyoWKLNG,,2015-08-07 09:41:58 -0700,629693977449476096,,
1395,No candidate mentioned,0.4047,yes,0.6362,Negative,0.6362,Immigration,0.4047,,EusebiaAq,,0,,,@HumanityRead Who's the real illegal alien #GOPDebate - Farrakhan on Immigration &amp; the Mexican Bor... https://t.co/lkLfFN2LFy via @YouTube,,2015-08-07 09:41:57 -0700,629693976912629760,America,Eastern Time (US & Canada)
1396,No candidate mentioned,1.0,yes,1.0,Negative,0.6705,None of the above,0.6358,,StreetAlpaca,,0,,,"@optionmonster @bpeck @HalftimeReport yes the logos were all over the screen, but the actual #GOPDebate feed on Facebook was awful.",,2015-08-07 09:41:57 -0700,629693976778510337,,Central Time (US & Canada)
1397,No candidate mentioned,0.4187,yes,0.6471,Positive,0.6471,None of the above,0.4187,,GordonPress,,0,,,"I will support the eventual GOP candidate over Bernie the Socialist, Hillary the Habitual Liar or Biden the Buffoon.  #GOPDebate",,2015-08-07 09:41:56 -0700,629693969195253760,Tampa,Eastern Time (US & Canada)
1398,No candidate mentioned,1.0,yes,1.0,Negative,1.0,Religion,0.6882,,JuliaTrilby,,232,,,"RT @JessicaValenti: Sorry, if there's a God she's not in that building. #GOPDebate",,2015-08-07 09:41:55 -0700,629693968595460096,"Maryland, USA",Eastern Time (US & Canada)
1399,No candidate mentioned,0.3889,yes,0.6237,Negative,0.6237,,0.2347,,Themgrid,,0,,,That debate was a joke #GOPDebate,,2015-08-07 09:41:55 -0700,629693968574451712,North Carolina,Eastern Time (US & Canada)
1400,No candidate mentioned,0.4853,yes,0.6966,Negative,0.6966,FOX News or Moderators,0.4853,,youthgirlpower,,0,,,Because of @FoxNews the American People truly learned nothing from the #GOPDebate. Such irrelevant questions asked by the moderators.#Fail,,2015-08-07 09:41:55 -0700,629693967907459072,,Atlantic Time (Canada)
1401,Donald Trump,1.0,yes,1.0,Negative,1.0,None of the above,1.0,,SeaBassThePhish,,0,,,Did Donald Trump just openly admit to buying candidates ....? #GOPDebate,,2015-08-07 09:41:53 -0700,629693959758069760,,Eastern Time (US & Canada)
1402,No candidate mentioned,1.0,yes,1.0,Negative,0.6813,FOX News or Moderators,0.6813,,LaurieMettier,,9,,,RT @Mamadoxie: YES @rushlimbaugh. We're waiting on your take on the excellent performances by the #GOPDebate candidates and the HORRENDOUS …,,2015-08-07 09:41:52 -0700,629693955592974336,Texas,
1403,Jeb Bush,0.6493,yes,1.0,Neutral,0.6547,None of the above,1.0,,duerr_2,,256,,,"RT @michellemalkin: #gopdebate Everything about Jeb Bush, Common Core, Pearson, PARCC &amp; money trail that you didn't learn from Fox ==&gt; http…",,2015-08-07 09:41:52 -0700,629693953101692929,pa usa,
1404,No candidate mentioned,1.0,yes,1.0,Negative,1.0,Jobs and Economy,1.0,,leftnotright,,12,,,RT @jodiecongirl: I feel like whenever politicians are asked about the economy they respond with how they can make puppies and unicorns app…,,2015-08-07 09:41:51 -0700,629693950996058112,Michigan,Atlantic Time (Canada)
1405,Donald Trump,1.0,yes,1.0,Negative,1.0,None of the above,1.0,,ScottWGraves,,1,,,"F**K @realDonaldTrump and those who would actually abandon their conservative values in support of his ridiculous candidacy.
#GOPDebate",,2015-08-07 09:41:51 -0700,629693949083385858,"Orange County, California",Pacific Time (US & Canada)
1406,No candidate mentioned,0.4398,yes,0.6632,Positive,0.3368,None of the above,0.4398,,bloodletting911,,0,,,bottom line is that i will vote for any of the candidates last night over @HillaryClinton #GOPDebate,,2015-08-07 09:41:50 -0700,629693944310444032,,
1407,No candidate mentioned,0.4302,yes,0.6559,Neutral,0.6559,None of the above,0.2257,,Stankin_Rankin,,0,,,"http://t.co/a5Oe7jfBwx

We're talking #GOPDebate, #JonVoyage &amp; more on #LiveFromE now. Watch: http://t.co/Gs14WRCChI

— E! News (ENews)…",,2015-08-07 09:41:50 -0700,629693943920336896,,
1408,No candidate mentioned,1.0,yes,1.0,Negative,0.6703,None of the above,1.0,,jamesKARATEpolk,,0,,,All hail The Supreme Being Ronald Jesus Reagan #GOPDebate,,2015-08-07 09:41:49 -0700,629693943182176256,,
1409,Donald Trump,0.4497,yes,0.6706,Neutral,0.6706,FOX News or Moderators,0.4497,,WhineNot,,2,,,"Rush: ""Not one of the 9 other candidates on the stage joined Megan Kelly in going after Donald Trump"" #GOPDebate",,2015-08-07 09:41:48 -0700,629693936475312129,South,Eastern Time (US & Canada)
1410,Donald Trump,1.0,yes,1.0,Negative,0.6593,FOX News or Moderators,0.6703,,NtheNite2,,0,,,Trump should do like Obama and refuse to communicate with #PoxNews for saying anything he doesn't like.  #GOPDebate,,2015-08-07 09:41:47 -0700,629693932587192320,,
1411,Donald Trump,1.0,yes,1.0,Negative,0.6593,FOX News or Moderators,1.0,,Jelena_s1,,0,,,That #GOPDebate last night was ridiculously biased against @realDonaldTrump the moderators were very unprofessional.,,2015-08-07 09:41:46 -0700,629693929072558081,,
1412,Donald Trump,0.7042,yes,1.0,Neutral,0.6523,None of the above,0.6523,,joehudsonsmall,,0,,,"""You once told a contestant on Celebrity Apprentice it would be a pretty picture to see her on her knees"" 

OMFG #GOPdebate",,2015-08-07 09:41:45 -0700,629693924085514240,"Worcester/Manchester, UK",London
1413,No candidate mentioned,0.4492,yes,0.6702,Neutral,0.3404,None of the above,0.4492,,D_Giffin,,0,,,5 Major Takeaways from the #GOPDebate: http://t.co/WUxoZh5TiK #TCCUS,,2015-08-07 09:41:44 -0700,629693921753477120,Not really sure anymore,Eastern Time (US & Canada)
1414,No candidate mentioned,0.4153,yes,0.6444,Neutral,0.6444,None of the above,0.4153,,joystudioz,,0,,,OMG what a movie https://t.co/j2pAkc9u9y … #PUSO2019 #SilopidePolisTeroerueVar #SMINC #GOPDebate #JonVoyage #MyMotherAlwaysToldMe 1087,,2015-08-07 09:41:44 -0700,629693919635349504,Nigeria,
1415,Donald Trump,0.6848,yes,1.0,Negative,1.0,FOX News or Moderators,1.0,,JC_Ice007,,0,,,@megynkelly Trump simply can't be harmed by his own impolitik statements. It's like trying to drown Aquaman. #GOPDebate #DonaldTrump,,2015-08-07 09:41:43 -0700,629693917051666432,New Jersey,Eastern Time (US & Canada)
1416,Ted Cruz,1.0,yes,1.0,Negative,0.6771,Immigration,0.3438,,KarenCrow6,,2,,,"RT @FreedomJames7: Never Forget: Ted Cruz Never Supported Amnesty.
#GOPDebate",,2015-08-07 09:41:43 -0700,629693916393005056,,
1417,Donald Trump,1.0,yes,1.0,Positive,1.0,None of the above,1.0,,HarleanHarlow,,0,,,17 candidates + #Trump makes the #GOPDebate interesting for a change! Top 10 moments from Thursday's debate http://t.co/1069hw6pbl,,2015-08-07 09:41:42 -0700,629693914249830400,"Hagerstown, MD ",
1418,No candidate mentioned,1.0,yes,1.0,Neutral,1.0,None of the above,1.0,,Stephanie_NC9,,0,,,#GOPDebate - live report from Jefferson's.  http://t.co/FlowHTLihO http://t.co/fKFYtS8F23,,2015-08-07 09:41:42 -0700,629693912588910597,"Chattanooga, TN",Pacific Time (US & Canada)
1419,No candidate mentioned,0.4553,yes,0.6748,Positive,0.3462,Jobs and Economy,0.2336,,PopCultureHolic,,0,,,This #GOPDebate is keeping the spray tan industry alive and thriving! #bringingjobs,,2015-08-07 09:41:42 -0700,629693910818820096,LA,Pacific Time (US & Canada)
1420,Rand Paul,1.0,yes,1.0,Negative,0.6818,None of the above,1.0,,KcollinsLb,,6,,,RT @FierceFemtivist: Rand Paul went to #Ferguson...and #Baltimore?? Which Riot shield were you holding bruh?! #GOPDebate,,2015-08-07 09:41:41 -0700,629693909770371072,,Quito
1421,No candidate mentioned,1.0,yes,1.0,Negative,0.6848,None of the above,1.0,,JuliaTrilby,,202,,,RT @JoeMyGod: There is nothing better than watching these clowns out-Jeebus each other. NOTHING. #GOPDebate,,2015-08-07 09:41:40 -0700,629693904615550977,"Maryland, USA",Eastern Time (US & Canada)
1422,Donald Trump,1.0,yes,1.0,Negative,0.6979,None of the above,0.6562,,CelestialProLLC,,155,,,RT @megynkelly: .@FrankLuntz focus group gives low marks to @realDonaldTrump saying he’d consider third party candidacy. #GOPDebate,,2015-08-07 09:41:40 -0700,629693904174972928,Phoenix AZ,Pacific Time (US & Canada)
1423,No candidate mentioned,1.0,yes,1.0,Positive,0.7045,None of the above,1.0,,dmkillgore,,0,,,I want to RT all of @Refinery29 #GOPDebate tweets. There is nothing better on this Friday.,,2015-08-07 09:41:40 -0700,629693903193669632,New York City,Eastern Time (US & Canada)
1424,No candidate mentioned,0.6629,yes,1.0,Neutral,0.6629,None of the above,1.0,,samugranados,,1,,,Robert Costa / David Weigel breaking down the #GOPdebate in this neat presentation by @Tan_Shelly  @SethBlanchard http://t.co/hGTwHlqIDL,,2015-08-07 09:41:39 -0700,629693901016801280,D.C.,
1425,Donald Trump,1.0,yes,1.0,Negative,1.0,None of the above,1.0,,KibblesMcGee,,15,,,RT @Nickcalves: Tell me this isn't @realDonaldTrump?? #GOPDebate http://t.co/tj5UEuQ8jM,,2015-08-07 09:41:37 -0700,629693892560957440,,
1426,Ted Cruz,1.0,yes,1.0,Neutral,0.6809,FOX News or Moderators,0.6596,,TC_Watkins,,1,,,@DomenicoNPR @MediaEqualizer crazy that Cruz only got 3 mins at debate #gopdebate,,2015-08-07 09:41:37 -0700,629693889818046464,Missouri,
1427,Mike Huckabee,1.0,yes,1.0,Negative,0.6509,None of the above,0.664,,TheDonkeyHotey,,20,,,RT @adammshankman: Wait! Did Huckabee just say something about the B-52s?!? Yaaaayyy! #loveshack #gopdebate,,2015-08-07 09:41:36 -0700,629693888035442689,,Eastern Time (US & Canada)
1428,Donald Trump,0.6809999999999999,yes,1.0,Negative,0.6809999999999999,Abortion,0.6574,,AntarianRani,,0,,,“@bennydiego: The unplanned parenthood. #foxnews #gopdebate http://t.co/C1fFLfYReu”,,2015-08-07 09:41:35 -0700,629693884361125888,Antar,Mountain Time (US & Canada)
1429,Ted Cruz,1.0,yes,1.0,Negative,0.6329,Foreign Policy,1.0,,arrowsmithwoman,,2,,,RT @matthewherper: Cruz: We need a commander in chief who makes clear that if you join ISIS you are signing your death warrant. #GOPDebate,,2015-08-07 09:41:35 -0700,629693882591154176,Florida,Eastern Time (US & Canada)
1430,No candidate mentioned,1.0,yes,1.0,Neutral,0.6813,None of the above,1.0,,maggielou_42,,1243,,,"RT @zachbraff: Anyone wanna watch the #GOPDebate ? I have weed, chips and guac.",,2015-08-07 09:41:35 -0700,629693881542684672,"Chicago, IL",Central Time (US & Canada)
1431,No candidate mentioned,1.0,yes,1.0,Negative,1.0,FOX News or Moderators,0.6437,,DrLecter11,,2,,,"RT @KathrynBruscoBk: The ignorance, stupidity, bigotry &amp; misogyny on the Fox hosted #GOPDebate last night was laughable,disgusting &amp; fright…",,2015-08-07 09:41:33 -0700,629693875658096640,,
1432,No candidate mentioned,1.0,yes,1.0,Negative,1.0,None of the above,1.0,,IrelandTina,,12,,,RT @iloanya1: Boy I'm not a #Hillary fan but damn we can't let any of these BOZOS become #POTUS...she can't be worse than these guys #GOPDe…,,2015-08-07 09:41:33 -0700,629693875238535168,Bend OR,Pacific Time (US & Canada)
1433,Donald Trump,1.0,yes,1.0,Negative,0.6667,None of the above,0.6552,,G_Humbertson,,1,,,"Trump claimed last night that he's given most of his opponents money. Actually, just one. #GOPDebate http://t.co/xztTCvMPlI",,2015-08-07 09:41:32 -0700,629693871417593856,Ameritopia,Eastern Time (US & Canada)
1434,No candidate mentioned,1.0,yes,1.0,Negative,1.0,Women's Issues (not abortion though),0.6526,,lilithjaay,,1,,,RT @ShabanaMir1: What scares me most about #GOPDebate : the people who break into storms of applause at misogyny &amp; crazy talk.,,2015-08-07 09:41:31 -0700,629693867210596352,,Mountain Time (US & Canada)
1435,No candidate mentioned,1.0,yes,1.0,Neutral,0.6829,None of the above,1.0,,josukebestjojo,,63,,,RT @Totalbiscuit: So the #GOPDebate made David Cameron look practically sane by comparison. Being a British leftie in the US is a bizarre e…,,2015-08-07 09:41:31 -0700,629693866933923841,England,Dublin
1436,No candidate mentioned,1.0,yes,1.0,Negative,0.6517,None of the above,1.0,,JoelleTomkins,,0,,,"Wouldn't debates be interesting if the questions were just asked, and whoever wanted to answer did. True personalities would show #GOPDebate",,2015-08-07 09:41:31 -0700,629693864110981120,,Eastern Time (US & Canada)
1437,No candidate mentioned,1.0,yes,1.0,Positive,1.0,None of the above,0.6444,,mldeforest,,1,,,RT @Raddmom: Did you know that @CarlyFiorina graduated from #Stanford #UofMaryland AND #MIT? I didn't -but know now! #Impressive #2ndLook #…,,2015-08-07 09:41:30 -0700,629693861846216704,,
1438,No candidate mentioned,1.0,yes,1.0,Negative,1.0,Foreign Policy,0.3571,,jazzicattt,,276,,,RT @amaraconda: ISIS is not islam jfc republicans talk all this shit about a terrorist group while dehumanizing every1 who follows islam fu…,,2015-08-07 09:41:29 -0700,629693857391771648,ftx,Pacific Time (US & Canada)
1439,No candidate mentioned,1.0,yes,1.0,Negative,0.6809,None of the above,1.0,,Brian_manfred,,115,,,RT @CocaineSoWhlte: Cocaine so white it's watching the #GOPDebate,,2015-08-07 09:41:28 -0700,629693855496032256,,
1440,No candidate mentioned,0.4159,yes,0.6449,Neutral,0.6449,None of the above,0.4159,,BenjaminBirdsey,,32,,,"RT @DarthPutinKGB: A Russian political debate is 10 candidates debating why they will vote for me.
#GOPDebate",,2015-08-07 09:41:27 -0700,629693848470433792,,Central Time (US & Canada)
1441,Marco Rubio,0.4171,yes,0.6458,Negative,0.6458,,0.2287,,toby_dorena,,56,,,"RT @ThePatriot143: Rubio Says He Wants Border Fence, Visa Tracking System, But Voted Against Both to Pass Gang of Eight Bill http://t.co/Qt…",,2015-08-07 09:41:27 -0700,629693848302661632,Richardson Tx,
1442,Donald Trump,1.0,yes,1.0,Negative,1.0,None of the above,1.0,,FreedomJames7,,0,,,"Trump Supporters ❤️ To Attack Other Conservative Followers 😳
#GOPDebate",,2015-08-07 09:41:26 -0700,629693844360183809,,
1443,No candidate mentioned,1.0,yes,1.0,Positive,1.0,FOX News or Moderators,1.0,,JustinDGriner,,0,,,Republicans are turning on Fox News and it is AWESOME!!!! #GOPDebate,,2015-08-07 09:41:26 -0700,629693844293054464,,
1444,No candidate mentioned,1.0,yes,1.0,Negative,1.0,Abortion,0.3483,,magtell,,10,,,RT @GrnEyedMandy: There are grown ass adult women on the Right who seem to enjoy being treated like incompetent children. #PlannedParenthoo…,,2015-08-07 09:41:25 -0700,629693842531356672,Still Above Ground ,Pacific Time (US & Canada)
1445,No candidate mentioned,0.4545,yes,0.6742,Negative,0.6742,None of the above,0.4545,,Brand0nRichards,,0,,,@schmitte @RunningQuack93 @kendallclb it was indeed a good source of laughter and concern. #GOPDebate #OMGOP,,2015-08-07 09:41:23 -0700,629693834553892865,SEA - SLM - DC - HBG,Eastern Time (US & Canada)
1446,No candidate mentioned,0.4025,yes,0.6344,Negative,0.6344,FOX News or Moderators,0.4025,,RayJayPerreault,,1,,,"RT @AverageChirps: In 3pm #GOPDebate, Fox ""News"" asked a REAL softball of a question: 2 words to describe Hillary. ALL SEVEN answered with …",,2015-08-07 09:41:23 -0700,629693833824051200,California,
1447,No candidate mentioned,1.0,yes,1.0,Negative,1.0,Abortion,1.0,,not2hotnot2cold,,2,,,RT @Maliheh_: @GrnEyedMandy Conservatives drag their knocked up daughters for an abortion &amp;go right back to protesting against pp the next …,,2015-08-07 09:41:23 -0700,629693831013863424,#UniteBlue ,Eastern Time (US & Canada)
1448,Donald Trump,1.0,yes,1.0,Negative,1.0,None of the above,0.6752,,AixZani,,395,,,"RT @shhhhhionn: Trump calls everybody ""clowns"" and ""puppets"" because he believes, correctly, that he is at a children's birthday party. #GO…",,2015-08-07 09:41:23 -0700,629693830913224709,,
1449,Donald Trump,1.0,yes,1.0,Negative,0.6477,FOX News or Moderators,1.0,,palmaceiahome1,,6,,,The goal of #FoxNews last night was to take out Trump and pave the way for a RINO like Bush or Kasich. #GOPDebate,,2015-08-07 09:41:21 -0700,629693825141862400,,Quito
1450,Ted Cruz,1.0,yes,1.0,Positive,0.3412,Foreign Policy,1.0,,marklellis,,21,,,"RT @ChadPergram: Cruz: We need a commander in chief who makes clear if you join ISIS, then you are signing your death warrant. #GOPDebate",,2015-08-07 09:41:21 -0700,629693825133342720,"Edmond, OK",Central Time (US & Canada)
1451,No candidate mentioned,1.0,yes,1.0,Negative,0.682,None of the above,0.682,,mslongjr,,34,,,RT @kt_money: Newsflash: God is not real. Plan your government accordingly. #GOPDebate,,2015-08-07 09:41:21 -0700,629693824449671168,"Austin, TX",Central Time (US & Canada)
1452,Marco Rubio,1.0,yes,1.0,Negative,1.0,None of the above,1.0,,KingNASCARFan,,0,,,"New game! 1 person CAN'T win. Players close eyes &amp; try to find them by saying ""Marco"", &amp; waiting for the loser to reply, ""Rubio"". #GOPDebate",,2015-08-07 09:41:21 -0700,629693822277005312,California,Pacific Time (US & Canada)
1453,Rand Paul,0.39399999999999996,yes,0.6277,Negative,0.3404,None of the above,0.39399999999999996,,nickbabs,,0,,,Unreleased footage of #RandPaul at the #GOPdebate last night. https://t.co/GEgoIrIeai,,2015-08-07 09:41:20 -0700,629693818326097921,Los Angeles / Chicago,Central Time (US & Canada)
1454,No candidate mentioned,0.449,yes,0.6701,Negative,0.6701,None of the above,0.449,,AllisonTruj,,1,,,RT @ellenduffer: Hillary Clinton won the #GOPDebate,,2015-08-07 09:41:19 -0700,629693815562063873,"Boston, Massachusetts",
1455,Marco Rubio,1.0,yes,1.0,Positive,0.6725,None of the above,1.0,,geeeeenaa,,0,,,Marco Rubio debating like a champ. #partyofthefuture #GOPDebate,,2015-08-07 09:41:18 -0700,629693811392798720,"El Monte, CA",Pacific Time (US & Canada)
1456,No candidate mentioned,0.4444,yes,0.6667,Neutral,0.6667,None of the above,0.4444,,gyrl_trickster,,23,,,RT @GetUpStandUp2: #BATSAsk which #GOPdebate candidate is willing to put the humanity back into education? @berniesanders http://t.co/6dTpe…,,2015-08-07 09:41:16 -0700,629693802148532224,,Pacific Time (US & Canada)
1457,Donald Trump,1.0,yes,1.0,Negative,0.7,None of the above,1.0,,carolinecrourke,,15,,,RT @RviydoGUTV: Donald Trump is like Sanjaya from American Idol. You know he won't win but you're curious to see how far he will go #GOPDeb…,,2015-08-07 09:41:15 -0700,629693800999301120,"Spokane, WA ",Pacific Time (US & Canada)
